,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
44,45,RPALE1,,226170166, ,Restaurante Ó Macedo,Capacidade para 45 pessoas; Especialidades da Casa: Polvo à lavrador; Filetes de pescada,05080100007,05,0801,00007,1245628800000,rafaeldias,552,Aberto das 12:30 ás 15:00 e das 19:30 ás 23:30 encerra ao Domingo,-8.667559942904687,41.14771786719031
45,46,CRIBE0,,222004307, ,Restaurante Dom Tonho,Especialidades da casa: Posta de vitela à mirandesa; Robalo ou cherne ao sal,13080100014,13,0801,00014,1245628800000,rafaeldias,13,Aberto das 12:30 ás15:00 e das 19:30 ás 23:00,-8.610895688717411,41.1407913598522
46,47,RALVI0,,226098764, ,Restaurante Degrau Chã,Capacidade para 50 pessoas; Especialidades da Casa:Tranches de pescada recheada com camarões,11080100004,11,0801,00004,1245628800000,rafaeldias,180,Aberto das 12:30 ás15:00 e das 20:00 ás 23:00 encerra ao Domingo,-8.647103979796082,41.16344451575271
47,48,RCANA0,,222006418, ,Restaurante Chez Lapin,Capacidade para 70 pessoas; Especialidades da Casa: Tamboril na Cataplana; Caldeirada de peixe,13080100006,13,0801,00006,1245628800000,rafaeldias,40,Aberto das 12:30 ás15:00 e das19:30 ás 23:00,-8.612500944004097,41.14064538189502
48,49,AMONT0,,226172304, ,Restaurante Don Manoel,Capacidade para 150 pessoas; Especialidades da Casa: odo o tipo de peixe,09080100003,09,0801,00003,1245628800000,rafaeldias,384,Aberto das 12:30 ás17:00 e das 19:30 ás 24:00 encerra ao Domingo,-8.685459077806186,41.16258293380513
49,50,RAFOZ0,,226173549, ,Restaurante Al Forno,Capacidade para 36 pessoas; Especialidades da Casa: Salada de pato; Pizza Toscânia,05080100002,05,0801,00002,1245628800000,rafaeldias,4,Aberto das 13:00 ás 15:00 e das 20:00 ás 01:00 encerra ao Domingo,-8.668192278707771,41.14897592631368
50,51,AFMAG0,,225100681, ,Restaurante Bonanza,Capacidade para 60 pessoas; Especialidades da Casa: Bacalhau à Bonanza,02080100001,02,0801,00001,1245628800000,rafaeldias,708,Aberto das 13:00 ás 15:30 e das 19:00 ás 01:00 encerra á Segunda,-8.594756313770883,41.155970334612604
51,52,ABRAS0,,226188404, ,Restaurante Bonaparte,"Capacidade para 90 pessoas; Especialidades da Casa: Fondue - carne, queijo, chocolate",05080100003,05,0801,00003,1245628800000,rafaeldias,130,Aberto das 17:00 ás 04:00,-8.678923711316124,41.153750883881386
52,53,RCCAB0,,225400548, ,Restaurante O Paparico,Capacidade para 36 pessoas; Especialidades da Casa: Bacalhau assado na brasa; Polvo grelhado na brasa,10080100003,10,0801,00003,1245628800000,rafaeldias,2343,Aberto das 20:00 ás 24:00 encerra ao Domingo,-8.585729162320913,41.17643137514979
53,54,ROUTE0,,222081319, ,Restaurante O Mal Cozinhado,Capacidade para 146 pessoas; Especialidades da Casa: Bacalhau à Mal Cozinhado; Posta à Mirandesa,13080100016,13,0801,00016,1245628800000,rafaeldias,13,Aberto das 20:30 ás 01:00 encerra ao Domingo,-8.615680629120975,41.14012528650267
54,55,LSJNO0,,222026937, ,Restaurante Típico O Fado,Capacidade para 70 pessoas; Especialidades da Casa: Arroz de Bacalhau com Pataniscas; Polvo à Lagareiro;Posta à Mirandesa,13080100015,13,0801,00015,1245628800000,rafaeldias,16,Aberto das 20:30 ás 03:30 encerra ao Domingo,-8.617527346508952,41.14229879222133
55,56,RJDEU0,,226095541, ,Restaurante Flor da Boavista,Capacidade para 100 pessoas; Especialidades da Casa: Tripas à moda do Porto; Frango churrasco,06080100007,06,0801,00007,1245628800000,rafaeldias,329,Aberto das 8:00 ás 22:00 encerra ao Domingo,-8.637749486068712,41.16160771254319
56,57,MBACA0,,222006086, ,Restaurante Farol da Boa Nova,Capacidade para 60 pessoas; Especialidades da Casa: Bolinhos de Bacalhau; Pataniscas; Açorda de Bacalhau com ovos; Feijão com grelos e carne de porco,13080100013,13,0801,00013,1245628800000,rafaeldias,115,Aberto das 12:00 ás15:00 e das 19:30 ás 23:00 encerra ao Domingo,-8.614353034836235,41.140331205185845
57,58,RJGRA0,,226096382, ,Restaurante Churrascão do Mar,Capacidade para 100 pessoas; Especialidades da Casa: Rodízio de peixe,06080100005,06,0801,00005,1245628800000,rafaeldias,134,Aberto das 12:00 ás15:30 e das 19:00 ás 23:00 encerra ao Domingo,-8.644206706156604,41.159794312287026
58,59,ABOAV0,,226091738, ,Restaurante Churrascão Gaucho,Capacidade para 230 pessoas; Especialidades da Casa: Rodízio de carnes; Picanha na brasa,04080100004,04,0801,00004,1245628800000,rafaeldias,313,Aberto das 12:00 ás 15:30 e das 19:00 ás 23:00 encerra ao Domingo,-8.627518796189843,41.15749247588899
59,60,RTIMO0,,226188728, ,Restaurante Bule,Capacidade para 70 pessoas; Especialidades da Casa: Pato assado; Arroz de pato,09080100001,09,0801,00001,1245628800000,rafaeldias,128,Aberto das 12:00 ás 15:00 e das 19:30 ás 22:30 encerra ao Domingo,-8.687443433924798,41.16611733871836
60,61,RPMAN1,,226189450, ,Restaurante Di-Vino,Capacidade para 52 pessoas; Especialidades da Casa:Caril de gambas,11080100003,11,0801,00003,1245628800000,rafaeldias,364,Aberto das 12:00 ás 15:00 e das 19:30 ás 24:00,-8.651966118181202,41.16514409629226
61,62,TCONG0,,222000061, ,Restaurante Don César,Especialidades da Casa: Bacalhau à João do Grão; Bacalhau assado no forno à Don César  recheado com bacon; Espetada de Gambas; Rojões  à Minhota,12080100007,12,0801,00007,1245628800000,rafaeldias,17,Aberto das 12:00 ás16:00 encerra ao Sábado,-8.610343553472353,41.147028545917564
